age,sex,education,income,east-west,happiness,health,lived_abroad,orientation
57,Male,2,350,East,5,1,No,9
65,Female,5,2125,East,9,4,No,1
78,Female,2,1200,East,7,4,No,1
34,Male,3,1300,East,7,4,No,9
77,Female,2,2600,West,8,3,Yes,5
60,Male,5,4300,West,10,5,Yes,6
49,Female,2,1100,West,5,4,No,9
42,Female,3,1500,East,10,3,No,6
51,Female,3,1300,East,7,3,No,1
48,Female,3,1200,East,10,2,No,6
39,Female,4,2259,East,7,4,Yes,2
65,Male,3,804,East,8,4,No,3
72,Male,2,3300,West,8,1,No,3
56,Male,3,640,East,0,1,No,6
51,Female,3,5000,East,9,5,No,5
28,Male,3,1900,West,9,4,No,6
44,Female,2,1100,West,3,2,No,9
45,Female,4,2875,West,8,2,No,2
25,Male,3,2000,West,9,4,No,9
18,Male,3,440,East,8,3,No,1
25,Female,5,1500,West,7,5,No,3
28,Male,3,2000,West,3,4,No,9
56,Male,5,3500,West,9,4,No,6
48,Female,3,450,West,8,4,No,2
40,Female,4,1700,West,9,3,No,5
72,Male,2,820,West,10,4,No,6
82,Male,2,1500,West,10,3,No,2
53,Female,3,1100,East,8,4,No,6
25,Male,3,1600,West,8,4,No,4
84,Female,2,1400,East,9,2,No,6
53,Female,3,1800,West,9,4,No,2
20,Female,5,1400,East,8,5,Yes,9
40,Male,2,4000,West,8,4,No,6
18,Female,2,450,West,0,1,No,6
76,Female,2,1800,East,7,2,No,6
63,Female,3,1875,East,9,4,No,6
58,Male,3,3500,West,7,3,No,2
55,Female,3,1000,West,9,4,No,6
66,Male,2,3000,West,8,3,No,6
29,Male,2,1600,West,8,4,Yes,6
20,Female,5,800,West,8,4,No,3
48,Male,5,3000,East,9,4,No,6
80,Male,2,2000,West,10,4,Yes,3
61,Female,4,1500,West,5,3,Yes,2
72,Male,4,1500,East,5,4,No,1
65,Female,5,1500,East,8,5,No,6
53,Female,5,3000,East,8,4,No,2
32,Male,2,2250,West,10,4,No,3
58,Male,2,1400,West,0,3,No,4
28,Male,5,700,East,8,5,No,2
48,Male,3,1200,East,8,3,No,9
29,Male,5,2500,West,9,5,No,2
66,Male,3,563,East,7,3,No,9
68,Male,3,1600,West,6,3,No,6
52,Female,5,2500,West,8,4,No,3
33,Male,5,3400,West,10,5,Yes,5
73,Female,3,1300,West,8,3,No,2
34,Male,5,100,West,7,2,Yes,5
24,Male,5,1000,West,8,4,Yes,2
54,Female,5,500,West,10,3,No,5
46,Male,3,2300,West,9,4,No,6
67,Male,3,1200,East,9,4,No,1
49,Female,5,2500,West,7,4,Yes,6
33,Male,5,2375,West,8,4,No,6
48,Male,3,2700,West,7,2,Yes,9
40,Male,5,5200,East,5,3,No,6
40,Female,5,1187,West,10,3,No,6
35,Female,5,1900,East,8,3,No,6
83,Female,2,1400,West,8,1,No,3
76,Female,5,1260,East,8,3,No,3
73,Male,3,850,East,3,3,No,2
39,Female,5,3500,West,6,4,No,2
43,Male,3,1100,West,7,3,No,5
81,Male,2,1221,East,8,3,No,6
20,Male,3,700,West,8,3,No,3
37,Male,4,4200,West,9,5,Yes,6
54,Male,4,3550,West,8,4,No,6
67,Male,3,2500,East,8,4,No,6
53,Male,5,3500,East,8,4,Yes,1
64,Female,2,2000,West,8,4,No,6
76,Male,5,1063,East,6,4,Yes,1
40,Female,3,700,East,6,3,No,9
42,Female,4,1800,West,9,2,Yes,2
57,Male,3,2000,East,8,4,No,5
64,Female,2,1260,West,5,2,No,3
41,Female,3,625,West,7,3,No,6
74,Male,2,1800,West,10,5,No,6
48,Female,3,1600,West,5,2,Yes,1
29,Male,5,800,West,9,5,No,2
30,Male,5,1700,East,8,4,No,1
23,Female,2,267,West,9,4,No,3
75,Female,2,900,West,8,4,No,6
43,Female,3,2100,West,8,4,No,3
27,Female,5,1400,East,8,4,No,2
71,Male,2,720,West,5,4,No,1
29,Female,5,650,East,8,5,No,1
54,Male,3,724,West,0,1,Yes,4
34,Female,4,1100,West,8,3,Yes,3
50,Male,3,3000,West,9,5,No,3
64,Male,5,3500,East,9,4,No,3
73,Female,2,110,West,6,3,No,2
22,Male,3,500,West,10,5,Yes,2
44,Female,5,1063,West,10,5,No,3
54,Male,5,6000,West,9,4,Yes,6
52,Female,3,1234,East,9,4,No,3
47,Female,5,3200,West,9,4,No,3
27,Female,4,2100,West,8,5,No,2
35,Female,2,2000,West,10,4,No,6
62,Male,5,4005,West,9,4,Yes,2
66,Female,5,875,West,7,3,Yes,2
61,Male,3,2375,West,8,3,No,2
75,Female,2,900,West,5,3,No,3
48,Female,2,700,West,10,5,No,3
48,Male,5,3800,East,8,4,No,3
82,Female,2,1100,East,7,4,No,1
75,Male,2,1500,East,8,3,No,3
48,Male,5,2200,East,7,4,Yes,1
39,Female,5,1188,West,10,5,No,9
